readLength	qualityScore	positionInRead	N	ExpectedCorrect	EmpiricalCorrect
101	&	4	0	0.683772	0
101	'	4	0	0.748811	0
101	(	4	0	0.800474	0
101	)	4	0	0.841511	0
101	*	4	0	0.874107	0
101	+	4	6080617	0.9	0.89201951335366
101	,	4	0	0.920567	0
101	-	4	0	0.936904	0
101	.	4	0	0.949881	0
101	/	4	0	0.960189	0
101	0	4	0	0.968377	0
101	1	4	2873180	0.974881	0.982221451341719
101	2	4	0	0.980047	0
101	3	4	0	0.984151	0
101	4	4	5628066	0.987411	0.988225445911792
101	5	4	0	0.99	0
101	6	4	0	0.992057	0
101	7	4	1535274	0.99369	0.993846020977361
101	8	4	0	0.994988	0
101	9	4	0	0.996019	0
101	:	4	5845501	0.996838	0.996402861793197
101	;	4	6793909	0.997488	0.99688029746439
101	<	4	375878	0.998005	0.996328585953421
101	=	4	11288180	0.998415	0.99845226364888
101	>	4	82801	0.998741	0.999673917404379
101	?	4	16281273	0.999	0.998792467327401
101	@	4	314909	0.999206	0.998948898665964
101	A	4	23362374	0.999369	0.999228737767788
101	B	4	36906044	0.999499	0.999415724225226
101	C	4	0	0.999602	0
101	D	4	251357295	0.999684	0.999647175432859
101	E	4	0	0.999749	0
101	F	4	1193837893	0.9998	0.999752982894681
101	G	4	0	0.999842	0
101	H	4	0	0.999874	0
101	I	4	0	0.9999	0
101	J	4	0	0.999921	0
101	#	5	1330060	0.369043	0.741734961168669
101	&	5	0	0.683772	0
101	'	5	2307	0.748811	0.584742115301257
101	(	5	0	0.800474	0
101	)	5	541976	0.841511	0.835105244807889
101	*	5	0	0.874107	0
101	+	5	4212697	0.9	0.887920494391596
101	,	5	1625619	0.920567	0.914168687698655
101	-	5	0	0.936904	0
101	.	5	0	0.949881	0
101	/	5	952	0.960189	0.897058829831933
101	0	5	437611	0.968377	0.979902240121933
101	1	5	441483	0.974881	0.974830294067948
101	2	5	5357665	0.980047	0.989146758753113
101	3	5	1201598	0.984151	0.984135304576906
101	4	5	1512461	0.987411	0.985518971941756
101	5	5	0	0.99	0
101	6	5	127996	0.992057	0.990913773555422
101	7	5	114870	0.99369	0.993322883781665
101	8	5	1780001	0.994988	0.994474718402967
101	9	5	1648	0.996019	0.997572816747573
101	:	5	6287587	0.996838	0.996584068472372
101	;	5	6630475	0.997488	0.997274419563908
101	<	5	700644	0.998005	0.997226833935638
101	=	5	8180935	0.998415	0.998853673751961
101	>	5	3519679	0.998741	0.998366330463658
101	?	5	16392327	0.999	0.998911144754006
101	@	5	1839643	0.999206	0.998935661414742
101	A	5	25778788	0.999369	0.9993475538298
101	B	5	36376334	0.999499	0.999500052355522
101	C	5	1532	0.999602	1
101	D	5	229540838	0.999684	0.999681599533399
101	E	5	28683973	0.999749	0.999734027529345
101	F	5	1181311853	0.9998	0.999774274717671
101	G	5	0	0.999842	0
101	H	5	0	0.999874	0
101	I	5	0	0.9999	0
101	J	5	0	0.999921	0
101	#	6	1355538	0.369043	0.795383842331974
101	&	6	981	0.683772	0.603465852191641
101	'	6	4852	0.748811	0.717848359027206
101	(	6	0	0.800474	0
101	)	6	581812	0.841511	0.833721203024345
101	*	6	3	0.874107	1
101	+	6	4347975	0.9	0.886146767813752
101	,	6	1637178	0.920567	0.910558294365671
101	-	6	566	0.936904	0.920494701413428
101	.	6	0	0.949881	0
101	/	6	1776	0.960189	0.928490998873874
101	0	6	462328	0.968377	0.979821681754079
101	1	6	461015	0.974881	0.974584333399129
101	2	6	5587530	0.980047	0.988777149423627
101	3	6	1229175	0.984151	0.983694761769479
101	4	6	1409657	0.987411	0.984941725094118
101	5	6	666	0.99	0.989489490990991
101	6	6	140847	0.992057	0.990628110417685
101	7	6	120876	0.99369	0.992984526481682
101	8	6	1802177	0.994988	0.994310212029673
101	9	6	2871	0.996019	0.997910137234413
101	:	6	6424582	0.996838	0.996655328750727
101	;	6	6678136	0.997488	0.997191870455919
101	<	6	883223	0.998005	0.997320051420762
101	=	6	8211372	0.998415	0.998845255538296
101	>	6	3506567	0.998741	0.998251272130264
101	?	6	16593680	0.999	0.998931999733331
101	@	6	1934310	0.999206	0.998971735966831
101	A	6	26140467	0.999369	0.99933026657328
101	B	6	36690948	0.999499	0.999514519298137
101	C	6	2422	0.999602	1
101	D	6	230381435	0.999684	0.999697137456318
101	E	6	29111856	0.999749	0.999754123638185
101	F	6	1178457474	0.9998	0.999795271054833
101	G	6	0	0.999842	0
101	H	6	0	0.999874	0
101	I	6	0	0.9999	0
101	J	6	0	0.999921	0
101	#	7	1463936	0.369043	0.800278145634782
101	&	7	2168	0.683772	0.73385612592251
101	'	7	5301	0.748811	0.755895157706094
101	(	7	258	0.800474	0.802325593023256
101	)	7	607188	0.841511	0.835723041291989
101	*	7	6	0.874107	1
101	+	7	4428105	0.9	0.886374196945645
101	,	7	1637257	0.920567	0.909571309458442
101	-	7	1015	0.936904	0.949753707389163
101	.	7	84	0.949881	0.988095238095238
101	/	7	1792	0.960189	0.958147323660715
101	0	7	484995	0.968377	0.979403893444262
101	1	7	473765	0.974881	0.976606543522633
101	2	7	5581788	0.980047	0.988196811180935
101	3	7	1245711	0.984151	0.984838383649979
101	4	7	1390306	0.987411	0.985131320015163
101	5	7	1873	0.99	0.996262681260011
101	6	7	156486	0.992057	0.992127086346381
101	7	7	127740	0.99369	0.994473126436511
101	8	7	1817134	0.994988	0.994539753678046
101	9	7	1707	0.996019	1
101	:	7	6533262	0.996838	0.99684642770212
101	;	7	6744757	0.997488	0.997348315981285
101	<	7	1297169	0.998005	0.997639465775854
101	=	7	7965387	0.998415	0.998853058769019
101	>	7	3500112	0.998741	0.998294615274596
101	?	7	16810872	0.999	0.998962982839557
101	@	7	2001333	0.999206	0.998986668096213
101	A	7	26445597	0.999369	0.999346570077356
101	B	7	37093235	0.999499	0.999526907546914
101	C	7	2644	0.999602	0.999621785173979
101	D	7	230915962	0.999684	0.999708295946138
101	E	7	29222066	0.999749	0.99976410698121
101	F	7	1176417697	0.9998	0.999811012622792
101	G	7	0	0.999842	0
101	H	7	0	0.999874	0
101	I	7	0	0.9999	0
101	J	7	0	0.999921	0
101	#	8	1691705	0.369043	0.748380475500752
101	&	8	3141	0.683772	0.754536808659664
101	'	8	5422	0.748811	0.713205509774992
101	(	8	1477	0.800474	0.731888987136087
101	)	8	621169	0.841511	0.832639744348156
101	*	8	23	0.874107	0.956521739130435
101	+	8	4434039	0.9	0.887204189008711
101	,	8	1611378	0.920567	0.911627832270888
101	-	8	1725	0.936904	0.954782617971015
101	.	8	297	0.949881	0.979797986531986
101	/	8	2119	0.960189	0.950920251061822
101	0	8	505608	0.968377	0.980730122537617
101	1	8	476045	0.974881	0.975783781516453
101	2	8	5566680	0.980047	0.988695411760511
101	3	8	1313053	0.984151	0.985547431876703
101	4	8	1387774	0.987411	0.985349925685306
101	5	8	5687	0.99	0.997714084051345
101	6	8	166967	0.992057	0.992052314840654
101	7	8	134839	0.99369	0.994511973153167
101	8	8	1830512	0.994988	0.99456818209987
101	9	8	3940	0.996019	0.99847715786802
101	:	8	6603147	0.996838	0.996892535350796
101	;	8	2135419	0.997488	0.99754145245172
101	<	8	6817385	0.998005	0.997583969379022
101	=	8	7102365	0.998415	0.998987931386236
101	>	8	3585431	0.998741	0.99826351921066
101	?	8	16942638	0.999	0.998978810458915
101	@	8	1584794	0.999206	0.998958846989577
101	A	8	23904362	0.999369	0.999358656091303
101	B	8	22804833	0.999499	0.999441303608625
101	C	8	17808261	0.999602	0.999643766374661
101	D	8	73668814	0.999684	0.999637903973587
101	E	8	54203	0.999749	0.999815507960814
